index,genres,keywords,tagline,title,cast,director
4197,Drama Thriller Romance,england brother sister relationship becoming an adult northern england female friendship,The most dangerous thing to want is more.,My Summer of Love,Natalie Press Emily Blunt Paddy Considine Dean Andrews,Pawe\u0142 Pawlikowski
4198,Drama Romance,,,The Lunchbox,Irrfan Khan Nimrat Kaur Nawazuddin Siddiqui Denzil Smith Bharati Achrekar,Ritesh Batra
4199,Drama Romance,woman director,,Yes,Joan Allen Simon Abkarian Sam Neill Shirley Henderson Stephanie Leonidas,Sally Potter
4200,Comedy Romance,monopoly tycoon house love friends,YOU'LL LOVE THEM ALL FOR GIVING YOU THE SWELLEST TIME YOU'VE EVER HAD!,You Can't Take It With You,Jean Arthur Lionel Barrymore James Stewart Edward Arnold Mischa Auer,Frank Capra
4201,War Drama Romance,hawaii harassment pearl harbor bombing military life,Pouring out of impassioned pages...brawling their way to greatness on the screen!,From Here to Eternity,Burt Lancaster Montgomery Clift Deborah Kerr Donna Reed Frank Sinatra,Fred Zinnemann
4202,Western,captain fort retirement attack cavalry,John Ford's New and Finest Picture of the Fighting Cavalry!,She Wore a Yellow Ribbon,"John Wayne Joanne Dru John Agar Ben Johnson Harry Carey, Jr.",John Ford
4203,Drama Music,christian,Would you give up what you need... to get everything you want?,Grace Unplugged,AJ Michalka James Denton Kevin Pollak Shawnee Smith Michael Welch,Brad J. Silverman
4204,Comedy Drama,independent film sexual humor drug humor,This big mouth is ready for the big time,Foolish,Eddie Griffin Master P Amie Petersen Frank Sivero Daphn\u00e9e Duplaix Samuel,Dave Meyers
4205,Drama Crime Thriller,,,N-Secure,Cordell Moore Essence Atkins Denise Boutte Tempestt Bledsoe Lamman Rucker,David M. Matthews
4206,Drama Comedy Romance,women hairdresser sister sister relationship new love unexpected happiness,,Caramel,Nadine Labaki Yasmine Al Massri Joanna Moukarzel Gis\u00e8le Aouad Adel Karam,Nadine Labaki
4207,Thriller Horror,,,Out of the Dark,Julia Stiles Scott Speedman Stephen Rea Alejandro Furth Pixie Davies,Llu\u00eds Qu\u00edlez
4208,Drama Romance,gay,,The Bubble,Ohad Knoller Yousef Sweid Daniella Wircer Alon Friedman Zion Baruch,Eytan Fox
4209,Crime Drama Mystery,san francisco paranoia audio tape wiretap shadowing,Harry Caul is an invader of privacy. The best in the business.,The Conversation,Gene Hackman John Cazale Frederic Forrest Cindy Williams Harrison Ford,Francis Ford Coppola
4210,Romance,,,Dil Jo Bhi Kahey...,Amitabh Bachchan Revathi Karan Sharma Annabelle Wallis Malcolm Stoddard,Romesh Sharma
4211,Crime Drama Romance,exotic island secret love of one's life plantation marriage,The Bride Came as Advertised...With an Unadvertised Special,Mississippi Mermaid,Jean-Paul Belmondo Catherine Deneuve Michel Bouquet Nelly Borgeaud Martine Ferri\u00e8re,Fran\u00e7ois Truffaut
4212,Drama Mystery,,,I Love Your Work,Marisa Coughlan Judy Greer Shalom Harlow Jared Harris Joshua Jackson,Adam Goldberg
4213,Horror,vacation remake woods burned alive murder,You can't run from what's inside.,Cabin Fever,Matthew Daddario Samuel Davis Dustin Ingram Eli Roth Gage Golightly,Travis Zariwny
4214,Comedy,waitress unwillingly pregnant woman director,If only life were as easy as pie,Waitress,Keri Russell Nathan Fillion Andy Griffith Cheryl Hines Eddie Jemison,Adrienne Shelly
4215,Action,martial arts biography sport sensei mixed martial arts,The true story of an American ninja.,Bloodsport,Jean-Claude Van Damme Bolo Yeung Roy Chiao Philip Chan Yan-Kin Donald Gibb,Newt Arnold
4216,Comedy Drama,corruption washington d.c. senate senator governor,"Romance, drama, laughter and heartbreak... created out of the very heart and soil of America!",Mr. Smith Goes to Washington,James Stewart Jean Arthur Claude Rains Edward Arnold Guy Kibbee,Frank Capra
4217,Drama Crime,puberty first time,,Kids,Leo Fitzpatrick Rosario Dawson Chlo\u00eb Sevigny Justin Pierce Sajan Bhagat,Larry Clark
4218,Comedy Drama,childhood memory uniform independent film private tryst,Joint custody blows.,The Squid and the Whale,Jeff Daniels Laura Linney Jesse Eisenberg Owen Kline William Baldwin,Noah Baumbach
4219,Comedy,jew based on play independent film gay relationship lesbian,"When it comes to love, sometimes she just can't think straight.",Kissing Jessica Stein,Jennifer Westfeldt Tovah Feldshuh Esther Wurmfeld Hillel Friedman Jon Hamm,Charles Herman-Wurmfeld
4220,Action Drama,martial arts kickboxing martial arts tournament reboot thai boxing,,Kickboxer: Vengeance,Alain Moussi Dave Bautista Sara Malakul Lane Jean-Claude Van Damme Darren Shahlavi,John Stockwell
4221,Drama Mystery Thriller,amnesia insane asylum suspense,The maddest love that ever possessed a woman.,Spellbound,Ingrid Bergman Gregory Peck Michael Chekhov Rhonda Fleming Leo G. Carroll,Alfred Hitchcock
4222,Drama Mystery,secret nightclub pet shop independent film unhappiness,"In a world of temptation, obsession is the deadliest desire.",Exotica,Bruce Greenwood Mia Kirshner Elias Koteas Don McKellar Sarah Polley,Atom Egoyan
4223,Romance Comedy Crime Drama,prison gambling compulsive gambling,Billy Brown just got out of jail. Now he's going to serve some real time. He's going home.,Buffalo '66,Vincent Gallo Christina Ricci Ben Gazzara Mickey Rourke Rosanna Arquette,Vincent Gallo
4224,Horror Thriller,medium evil spirit house warming aftercreditsstinger,It's not the house that's haunted.,Insidious,Patrick Wilson Rose Byrne Ty Simpkins Barbara Hershey Lin Shaye,James Wan
4225,Comedy Crime Science Fiction Thriller,california cocaine future punk theory,It’s 4 a.m. Do you know where your car is?,Repo Man,Harry Dean Stanton Emilio Estevez Tracey Walter Olivia Barash Sy Richardson,Alex Cox
4226,Crime Drama Thriller,hotel con man stamp police partner,Sticky & Square,Nine Queens,Ricardo Dar\u00edn Gast\u00f3n Pauls Leticia Br\u00e9dice Mar\u00eda Mercedes Villagra Gabriel Correa,Fabi\u00e1n Bielinsky
4227,Documentary,israel army intelligence agency shin bet,,The Gatekeepers,Ami Ayalon Avraham Shalom Yaakov Peri Carmi Gillon Avi Dichter,Dror Moreh
4228,Drama,female nudity runaway commune egg independent film,"Selfhood begins with a walking away, and love is proved in the letting go.",The Ballad of Jack and Rose,Daniel Day-Lewis Camilla Belle Catherine Keener Ryan McDonald Paul Dano,Rebecca Miller
4229,Comedy Romance,sex sexuality irony sarcasm naivety,She's going from straight A's to getting her first F.,The To Do List,Aubrey Plaza Johnny Simmons Bill Hader Alia Shawkat Sarah Steele,Maggie Carey
4230,Action Crime Drama Thriller,paris prostitute robbery drug abuse aids,,Killing Zoe,Eric Stoltz Julie Delpy Jean-Hugues Anglade Tai Thai Bruce Ramsay,Roger Avary
4231,Drama,bomb jewry world war ii jewish life jew,,The Believer,Ryan Gosling Summer Phoenix Theresa Russell Billy Zane Joshua Harto,Henry Bean
4232,Drama Romance,suicide depression small town family relationships young love,Some will fall. Some will fly.,Snow Angels,Kate Beckinsale Sam Rockwell Michael Angarano Olivia Thirlby Amy Sedaris,David Gordon Green
4233,Thriller Action Horror,,The Hunt Is On,Unsullied,Rusty Joiner Murray Gray James Gaudioso Erin Boyes,Simeon Rice
4234,Horror Mystery,schizophrenia lunatic asylum psychology relation coin,Fear is a place.,Session 9,Peter Mullan David Caruso Stephen Gevedon Josh Lucas Brendan Sexton III,Brad Anderson
4235,Comedy Romance,independent film,,I Want Someone to Eat Cheese With,Jeff Garlin Sarah Silverman Bonnie Hunt Elle Fanning Jessy Schram,Jeff Garlin
4236,Drama,independent film,,Mooz-lum,Nia Long Danny Glover Evan Ross Summer Bishil,Qasim Basir
4237,Comedy Horror,new orleans alligator male friendship ax swampf,Stay out of the swamp.,Hatchet,Joel David Moore Tamara Feldman Deon Richmond Kane Hodder Mercedes McNab,Adam Green
4238,Drama Comedy,factory ambulance invention tramp great depression,"He stands alone as the greatest entertainer of modern times! No one on earth can make you laugh as heartily or touch your heart as deeply...the whole world laughs, cries and thrills to his priceless genius!",Modern Times,Charlie Chaplin Paulette Goddard Henry Bergman Tiny Sandford Chester Conklin,Charlie Chaplin
4239,Drama Family Comedy,,You saw the back-stabbing. Now see the final cut.,Stolen Summer,Aidan Quinn Bonnie Hunt Kevin Pollak Eddie Kaye Thomas Lisa Dodson,Pete Jones
4240,Comedy Horror,parody parallel world,Fearless! Unstoppable! Ready For His Close-Up!,My Name Is Bruce,Bruce Campbell Grace Thorsen Ted Raimi Adam Boyd Mike Estes,Bruce Campbell
4241,Comedy,independent film,Where you get more than just a hair cut!,The Salon,Dondre Whitfield Kym Whitley Monica Calhoun Terrence Howard Darrin Henson,Mark Brown
4242,Comedy,road trip stand-up comedy romantic comedy travel,,Road Hard,Adam Carolla Diane Farr Larry Miller Mindy Robinson David Koechner,Adam Carolla
4243,Drama Romance,independent film,,Forty Shades of Blue,Dina Korzun Rip Torn Darren E. Burrows Andrew Henderson Elizabeth Morton,Ira Sachs
4244,Drama History War,ambush rebel rain village arrest,,Amigo,Chris Cooper DJ Qualls Garret Dillahunt Yul Vazquez Lucas Neff,John Sayles
4245,Horror Mystery Science Fiction,disc jockey radio station winter survival zombie,Shut up or die.,Pontypool,Stephen McHattie Lisa Houle Georgina Reilly Hrant Alianak Rick Roberts,Bruce McDonald
4246,Drama,california sex bar motel highway,Some Things in life you can't leave behind,Trucker,Michelle Monaghan Nathan Fillion Joey Lauren Adams Jimmy Bennett Mika Boorem,James Mottern
4247,Romance Comedy Drama,,"A story about second, second chances",Me You and Five Bucks,,
4248,Horror Thriller,witch coven salem massachusetts satanic,We've been waiting... we've always been waiting,The Lords of Salem,Sheri Moon Zombie Bruce Davison Jeff Daniel Phillips Judy Geeson Meg Foster,Rob Zombie
4249,Horror Comedy Thriller,haunted house father-in-law superstition house arrest basement,Terror Gets Domesticated,Housebound,Morgana O'Reilly Rima Te Wiata Glen-Paul Waru Cameron Rhodes Millen Baird,Gerard Johnstone
4250,Documentary,usa capitalism department store protest community,,Wal-Mart: The High Cost of Low Price,Lee Scott Don Hunter Jon Hunter Jeremy Hunter Matt Hunter,Robert Greenwald
4251,Comedy Drama Fantasy Romance Science Fiction,independent film,How far would you go for love?,Fetching Cody,Jay Baruchel Sarah Lind Jim Byrnes Neil Denis Chilton Crane,David Ray
4252,Drama Comedy,,,Last I Heard,Paul Sorvino Chazz Palminteri Michael Rapaport Renee Props,David Rodriguez
4253,Comedy Drama,bank robbery,,Closer to the Moon,Vera Farmiga Mark Strong Harry Lloyd Anton Lesser Joe Armstrong,Nae Caranfil
4254,Science Fiction,winter mutant post-apocalyptic dystopia meteor,,Mutant World,Kim Coates Holly Deveaux Ashanti Amber Marshall Jason Cermak,David Winning
4255,Comedy Family Drama,,It’s better to stand out than to fit in.,Growing Up Smith,Roni Akurati Brighton Sharbino Jason Lee Anjul Nigam Hilarie Burton,Frank Lotito
4256,Thriller Action Crime,,,Checkmate,Danny Glover Sean Astin Vinnie Jones Mischa Barton Michael Par\u00e9,Timothy Woodward Jr.
4257,Drama Mystery Horror Thriller,,Death is trending.,#Horror,Taryn Manning Natasha Lyonne Chlo\u00eb Sevigny Balthazar Getty Timothy Hutton,Tara Subkoff
4258,Action Horror Thriller,,,Wind Walkers,Zane Holtz Glen Powell Kiowa Gordon Castille Landon Johnny Sequoyah,Russell Friedenberg
4259,Fantasy Animation Family,poison witch becoming an adult sadness queen,"The Happiest, Dopiest, Grumpiest, Sneeziest movie of the year.",Snow White and the Seven Dwarfs,Adriana Caselotti Lucille La Verne Harry Stockwell Roy Atwell Pinto Colvig,David Hand
4260,Drama Foreign,hotel teenage girl doctor woman director spanish movie,She is both temptation and salvation.,The Holy Girl,Mar\u00eda Alch\u00e9 Mercedes Mor\u00e1n Carlos Belloso Alejandro Urdapilleta M\u00eda Maestro,Lucrecia Martel
4261,Western,native american gunfighter hunting party,Sean Connery is Shalako! Shalako means action! Action means Bardot!,Shalako,Sean Connery Brigitte Bardot Jack Hawkins Stephen Boyd Peter van Eyck,Edward Dmytryk
4262,Adventure Comedy Horror,,,Incident at Loch Ness,Werner Herzog Kitana Baker Gabriel Beistain Russell Williams II David A. Davidson,Zak Penn
4263,Drama,undercover dog animal welfare animal rights organization puppy mill,She ended up on the wrong side of right.,The Dog Lover,Allison Paige James Remar Lea Thompson Jayson Blair Sherry Stringfield,Alex Ranarivelo
4264,Horror Thriller,female nudity sex shower sauna nudity,Enjoy the show.,GirlHouse,Ali Cobrin Erin Agostino James Thomas Alice Hunter Alyson Bath,Jon Knautz
4265,Drama Crime Thriller,murder suspense love affair police interrogation murder trial,,The Blue Room,Mathieu Amalric L\u00e9a Drucker St\u00e9phanie Cl\u00e9au Laurent Poitrenaux,Mathieu Amalric
4266,Thriller Horror,ghost story,It's where they died.,House at the End of the Drive,James Oliver Jonathan Mangum Alison Raimondi Angela Jones Lance Henriksen,David Worth
4267,Family Adventure Comedy Science Fiction Crime,submarine dc comics missile shark attack rescue,He's Here Big As Life In A Real Bat-Epic,Batman,Adam West Burt Ward Lee Meriwether Cesar Romero Burgess Meredith,Leslie H. Martinson
4268,Comedy Crime,ambush alcohol shotgun tea joint,A Disgrace to Criminals Everywhere.,"Lock, Stock and Two Smoking Barrels",Jason Flemyng Dexter Fletcher Nick Moran Jason Statham Vinnie Jones,Guy Ritchie
4269,Western,,,The Ballad of Gregorio Cortez,Edward James Olmos James Gammon Tom Bower,Robert M. Young
4270,Drama,suicide father son relationship child abuse sexual abuse depression,,The Celebration,Ulrich Thomsen Henning Moritzen Thomas Bo Larsen Paprika Steen Birthe Neumann,Thomas Vinterberg
4271,Comedy Drama,bar alcoholism independent film drinking,,Trees Lounge,Steve Buscemi Chlo\u00eb Sevigny Carol Kane Mark Boone Junior Bronson Dudley,Steve Buscemi
4272,Drama,vietnam independent film,,Journey from the Fall,Ki\u1ec1u Chinh Long Nguyen Diem Lien Jayvee Mai The Hiep Khanh Doan,Ham Tran
4273,Drama,,,The Basket,Peter Coyote Karen Allen Robert Burke Amber Willenborg Jack MacDonald,Rich Cowan
4274,Horror Comedy,cannibal sleepwalking art teacher,Part muse. Part sleepwalking cannibal.,Eddie: The Sleepwalking Cannibal,Thure Lindhardt Dylan Smith Georgina Reilly Alain Goulem Stephen McHattie,Boris Rodriguez
4275,Drama Action,biography,,Queen of the Mountains,Elina Abai Kyzy Aziz Muradillayev Nasira Mambetov Adilet Usubaliyev Mirlan Abdulayev,Sadyk Sher-Niyaz
4276,Science Fiction,post-apocalyptic dystopia canuxploitation,The last defense. The last hope. The battle for the future of the world has begun.,Def-Con 4,Lenore Zann Maury Chaykin Kate Lynch Kevin King John Walsch,Paul Donovan
4277,Action Comedy,independent film,,The Hebrew Hammer,Adam Goldberg Judy Greer Andy Dick Mario Van Peebles,Jonathan Kesselman
4278,Comedy Romance,musical,Nice is out...Naughty is in,Neal 'n' Nikki,Uday Chopra Tanisha Mukherjee Abhishek Bachchan Richa Pallod Gaurav Gera,Arjun Sablok
4279,Comedy,duringcreditsstinger,,The 41–Year–Old Virgin Who Knocked Up Sarah Marshall and Felt Superbad About It,Bryan Callen Noureen DeWulf Mircea Monroe Stephen Kramer Glickman Austin Michael Scott,Craig Moss
4280,Drama Horror Romance,independent film,,Forget Me Not,Carly Schroeder Cody Linley Brie Gabrielle Chloe Bridges Micah Alberti,Tyler Oliver
4281,Drama Mystery,monte carlo based on novel age difference secret obsession,The shadow of this woman darkened their love.,Rebecca,Laurence Olivier Joan Fontaine George Sanders Judith Anderson Nigel Bruce,Alfred Hitchcock
4282,Horror Thriller,camping summer camp gore slasher b horror,The body count continues...,Friday the 13th Part 2,Amy Steel John Furey Adrienne King Kirsten Baker Betsy Palmer,Steve Miner
4283,Drama,desperation weekend delirium addiction alcoholism,The screen dares to open the strange and savage pages of a shocking bestseller!,The Lost Weekend,Ray Milland Jane Wyman Phillip Terry Howard Da Silva Doris Dowling,Billy Wilder
4284,Horror Science Fiction,monster mutant shower police blood splatter,They're not staying down there anymore!,C.H.U.D.,John Heard Daniel Stern Christopher Curry Kim Greist Laure Mattos,Douglas Cheek
4285,Drama,,This is my life.,Filly Brown,Resmine Atis Baby Bash David Bianchi Jorge Diaz Chingo Bling,Michael D. Olmos
4286,Adventure Animation Comedy Family,palm sunday jerusalem judah bethlehem judah,The lamb who saved the world!,The Lion of Judah,Georgina Cordova Ernest Borgnine Michael Madsen Scott Eastwood,Deryck Broom
4287,Crime Drama Thriller,clock tower infidelity self-defense waterfall delirium,A raging torrent of emotion that even nature can't control!,Niagara,Marilyn Monroe Joseph Cotten Jean Peters Max Showalter Denis O'Dea,Henry Hathaway
4288,Drama,wales rural setting coal mining,Millions Have Read This Great Novel... Millions more will see an even greater picture!,How Green Was My Valley,Walter Pidgeon Maureen O'Hara Roddy McDowall Donald Crisp Anna Lee,John Ford
4289,Thriller Comedy Romance,,,Da Sweet Blood of Jesus,Felicia Pearson Zaraah Abrahams Elvis Nolasco Steven Hauck Stephen Tyrone Williams,Spike Lee
4290,Drama,sexual obsession sex sexuality camcorder spanner,,"Sex, Lies, and Videotape",Andie MacDowell Peter Gallagher James Spader Laura San Giacomo Ron Vawter,Steven Soderbergh
4291,Horror Mystery Crime,shotgun based on short film sadist pistol chained,Live or die. Make your choice.,Saw,Cary Elwes Danny Glover Monica Potter Michael Emerson Ken Leung,James Wan
4292,Comedy Crime Mystery,alcohol radio police chief highway cops,,Super Troopers,Jay Chandrasekhar Steve Lemme Kevin Heffernan Paul Soter Geoffrey Arend,Jay Chandrasekhar
4293,,,,The Algerian,Ben Youcef Candice Coke Harry Lennix Tara Holt Josh Pence,Giovanni Zelko
4294,Comedy Drama,woman director,,The Amazing Catfish,Lisa Owen Ximena Ayala Sonia Franco Wendy Guill\u00e9n Andrea Baeza,Claudia Sainte-Luce
4295,Comedy Drama Romance,child abuse adultery arranged marriage bollywood wedding,"A stressed father, a bride-to-be with a secret, a smitten event planner, and relatives from around the world create much ado about the preparations for an arranged marriage in India.",Monsoon Wedding,Naseeruddin Shah Lillete Dubey Vijay Raaz Tillotama Shome Vasundhara Das,Mira Nair
4296,Drama Romance,independent film,,You Can Count on Me,Laura Linney Mark Ruffalo Matthew Broderick Jon Tenney Rory Culkin,Kenneth Lonergan
4297,Comedy Mystery Thriller,small town chase wife leave murder,A THRILLER with a difference!,The Trouble with Harry,Edmund Gwenn John Forsythe Shirley MacLaine Mildred Natwick Mildred Dunnock,Alfred Hitchcock
4298,Comedy,coming out cheerleader homosexuality independent film lesbian,A Comedy Of Sexual Disorientation.,But I'm a Cheerleader,Natasha Lyonne Brandt Wille Bud Cort Michelle Williams RuPaul,Jamie Babbit
4299,Drama,baseball,Freedom is possible,Home Run,Scott Elrod Dorian Brown Charles Henry Wyson James Devoti Nicole Leigh,David Boyd
4300,Crime Thriller,traitor jewelry psychopath thief heist,Every dog has his day.,Reservoir Dogs,Harvey Keitel Tim Roth Michael Madsen Chris Penn Steve Buscemi,Quentin Tarantino
4301,Drama Family Fantasy,bird,,The Blue Bird,Shirley Temple Spring Byington Nigel Bruce Gale Sondergaard Eddie Collins,Walter Lang
4302,Western,bounty hunter refugee gold anti hero gallows,For three men the Civil War wasn't hell. It was practice.,"The Good, the Bad and the Ugly",Eli Wallach Clint Eastwood Lee Van Cleef Aldo Giuffr\u00e8 Luigi Pistilli,Sergio Leone
4303,Drama,brazilian brazil pool mother daughter relationship architecture,,The Second Mother,Regina Cas\u00e9 Michel Joelsas Camila M\u00e1rdila Karine Teles Louren\u00e7o Mutarelli,Anna Muylaert
4304,Drama Comedy,book store,Everybody belongs somewhere,Blue Like Jazz,Marshall Allman Claire Holt Tania Raymonde Justin Welborn Eric Lange,Steve Taylor
4305,Comedy Music,,Ain't Rock 'N' Roll a bitch.,Down & Out With The Dolls,,
4306,Documentary,marketing breast cancer corporatism woman director,Capitalizing on hope.,"Pink Ribbons, Inc.",Samantha King Barbara Brenner Barbara Ehrenreich Nancy Brinker Susan Love,L\u00e9a Pool
4307,Comedy,,,Certifiably Jonathan,Jonathan Winters Robin Williams Sarah Silverman Patricia Arquette,James David Pasternak
4308,Drama Romance,france female nudity sex sexuality love,,Desire,D\u00e9borah R\u00e9vy H\u00e9l\u00e8ne Zimmer Gowan Didi Johnny Amaro Johan Lib\u00e9reau,Laurent Bouhnik
4309,Drama Comedy,peru,,The Blade of Don Juan,Juan Carlos Montoya Rodrigo Viaggio Irma Maury Antonio Arru\u00e9 Viviana Andrade,Tom Sanchez
4310,Crime Comedy Drama Adventure,1970s rock star chase musician independent film,It's better to burn out than to fade away.,Grand Theft Parsons,Johnny Knoxville Christina Applegate Gabriel Macht Marley Shelton Robert Forster,David Caffrey
4311,Comedy,,UNRATED. A film with many happy endings...,Extreme Movie,Patrick J. Adams Ryan Pinkston Denise Boutte Michael Cera Frankie Muniz,Adam Jay Epstein
4312,Action Adventure Drama War,ambush british army fort invasion attack,"The reckless lancers sweep on and on - so that a woman's heart might not be broken! You're not fighting a single legion - you're fighting the entire British army, Surat Khan!",The Charge of the Light Brigade,Errol Flynn Olivia de Havilland Patric Knowles Henry Stephenson Nigel Bruce,Michael Curtiz
4313,Thriller Horror,screenwriter,There's nothing scarier than a blank page.,Below Zero,Edward Furlong Michael Berryman Kristin Booth Michael Eisner Dee Hanna,Justin Thomas Ostensen
4314,,,,Crowsnest,,
4315,Action Adventure Comedy,sport rollerblade,There are two kinds of people: those who get AIRBORNE...and those who don't.,Airborne,Shane McDermott Seth Green Brittney Powell Chris Conrad Edie McClurg,Rob Bowman
4316,Action Adventure,blaxploitation,"Introducing COFFIN ED and GRAVEDIGGER, two detectives only a mother could love.",Cotton Comes to Harlem,Godfrey Cambridge Raymond St. Jacques Calvin Lockhart Judy Pace Redd Foxx,Ossie Davis
4317,Horror,,Every family has its demons. The truth will possess us all.,The Wicked Within,Sienna Guillory Gianni Capaldi Enzo Cilenti Michele Hicks Sonja Kinski,Jay Alaimo
4318,Horror,,,Bleeding Hearts,Robert Loggia Charles Durning Tony Todd Dustin Diamond Wilson Jermaine Heredia,Dylan Bank
4319,Comedy,decision waiter hostess trainee gross out,What happens in the kitchen ends up on the plate.,Waiting...,Ryan Reynolds Anna Faris Justin Long David Koechner Luis Guzm\u00e1n,Rob McKittrick
4320,Drama Thriller Crime,rage and hate brother revenge punishment home movie footage,He's in all of us.,Dead Man's Shoes,Paddy Considine Gary Stretch Toby Kebbell Jo Hartley Seamus O'Neill,Shane Meadows
4321,Comedy Horror,civil war narration voodoo necrophilia anthology,Welcome to Oldfield. Stop in for a night of pure terror.,From a Whisper to a Scream,Vincent Price Clu Gulager Terry Kiser Rosalind Cash Cameron Mitchell,Jeff Burr
4322,Documentary,,,Sex With Strangers,,
4323,Horror,dracula independent film,,Dracula: Pages from a Virgin's Diary,Wei-Qiang Zhang Tara Birtwhistle David Moroni CindyMarie Small Johnny A. Wright,Guy Maddin
4324,Drama,christian film food,,Faith Like Potatoes,Frank Rautenbach Jeanne Neilson Hamilton Dlamini Sean Cameron Michael Rochelle Buchan,Regardt van den Bergh
4325,Fantasy Science Fiction Horror,commune suspense mad doctor captive drugged,Beyond Science. Beyond Sanity. Beyond Control.,Beyond the Black Rainbow,Michael Rogers Scott Hylands Marilyn Norry Eva Allan Rondel Reynoldson,Panos Cosmatos
4326,Action Thriller Crime,crime boss tenement high rise monitor tower block,"1 Ruthless Crime Lord, 20 Elite Cops, 30 Floors of Hell",The Raid,Iko Uwais Joe Taslim Donny Alamsyah Yayan Ruhian Ray Sahetapy,Gareth Evans
4327,Horror Science Fiction Action,vampire zombie vanity project mad cow disease,How Do You Kill Something That's Already Dead?,The Dead Undead,Luke Goss Joshua Alba Matthew R. Anderson Laura Chinn Cameron Goodman,Matthew R. Anderson
4328,Horror Documentary Mystery,exorcism,The public were never meant to know,The Vatican Exorcisms,Joe Marino,Joe Marino
4329,Drama Romance,love triangle corruption spy resistance casablanca,They had a date with fate in Casablanca!,Casablanca,Humphrey Bogart Ingrid Bergman Paul Henreid Claude Rains Conrad Veidt,Michael Curtiz
4330,Horror Thriller,supernatural drama,If you've never seen a ghost... Look closer.,Lake Mungo,Talia Zucker Rosie Traynor David Pledger Martin Sharpe Steve Jodrell,Joel Anderson
4331,Drama Comedy Romance,ambition bollywood business india struggling career,Welcome to the world of sales boss!,Rocket Singh: Salesman of the Year,Ranbir Kapoor Sumeet Darshan Dobhal Gauhar Khan Shazahn Padamsee Prem Chopra,Shimit Amin
4332,Adventure Drama Science Fiction,space marine sunlight plants space travel saturn,Amazing companions on an incredible journey...that journeys beyond imagination!,Silent Running,Bruce Dern Cliff Potts Ron Rifkin Jesse Vint Steven Brown,Douglas Trumbull
4333,Drama,underdog philadelphia transporter italo-american fight,His whole life was a million-to-one shot.,Rocky,Sylvester Stallone Talia Shire Burt Young Carl Weathers Burgess Meredith,John G. Avildsen
4334,Drama,woman director young couple secluded family estate,,The Sleepwalker,Christopher Abbott Brady Corbet Stephanie Ellis Gitte Witt,Mona Lerche
4335,Adventure Comedy History Romance,from rags to riches tutor squire,Tom Jones! . . . loves and loves and loves and loves . . .,Tom Jones,Albert Finney Susannah York Hugh Griffith Edith Evans Joan Greenwood,Tony Richardson
4336,Horror Thriller,computer bullying revenge internet teenager,"Online, your memories last forever. But so do your mistakes.",Unfriended,Shelley Hennig Moses Jacob Storm Renee Olstead William Peltz Jacob Wysocki,Levan Gabriadze
4337,Crime Drama,vietnam veteran taxi obsession drug dealer night shift,"On every street in every city, there's a nobody who dreams of being a somebody.",Taxi Driver,Robert De Niro Cybill Shepherd Harvey Keitel Jodie Foster Peter Boyle,Martin Scorsese
4338,Drama Horror,insane asylum werewolf newswoman,Imagine your worst fear a reality,The Howling,Patrick Macnee Dennis Dugan Christopher Stone Belinda Balaski Kevin McCarthy,Joe Dante
4339,Adventure Action Thriller,london england england assassination spy casino,NOW meet the most extraordinary gentleman spy in all fiction!,Dr. No,Sean Connery Ursula Andress Joseph Wiseman Jack Lord Bernard Lee,Terence Young
4340,Horror Thriller,radiation ukraine nuclear radiation tourist nuclear power plant,Experience the fallout,Chernobyl Diaries,Jesse McCartney Jonathan Sadowski Olivia Taylor Dudley Ingrid Bols\u00f8 Berdal Alex Feldman,Bradley Parker
4341,Horror,underworld seduction supernatural pinhead revenge,He'll tear your soul apart.,Hellraiser,Andrew Robinson Clare Higgins Ashley Laurence Sean Chapman Oliver Smith,Clive Barker
4342,Drama,christian,,God's Not Dead 2,Hayley Orrantia Melissa Joan Hart Jesse Metcalfe David A.R. White Ray Wise,Harold Cronk
4343,Horror Thriller,murder serial killer student rumor,Nobody believes a liar...even when they're telling the truth.,Cry_Wolf,Julian Morris Lindy Booth Jared Padalecki Jon Bon Jovi Sandra McCoy,Jeff Wadlow
4344,Adventure Horror Action Science Fiction,japan monster flying saucer godzilla city,Get ready to crumble.,Godzilla 2000,Takehiro Murata Naomi Nishida Mayu Suzuki Hiroshi Abe Shir\u00f4 Sano,Takao Okawara
4345,Drama Romance,dancing nurse depression classroom bridge,Nobody Baby But You And Me,Blue Valentine,Ryan Gosling Michelle Williams Mike Vogel John Doman Faith Wladyka,Derek Cianfrance
4346,Drama,individual gay new york usa missionary,Life is a Journey. Bring an Open Mind.,Transamerica,Felicity Huffman Kevin Zegers Elizabeth Pe\u00f1a Danny Burstein Maurice Orozco,Duncan Tucker
4347,Thriller Horror,rome exorcism death demonic possession found footage,No soul is safe.,The Devil Inside,Fernanda Andrade Simon Quarterman Evan Helmuth Ionut Grama Suzan Crowley,William Brent Bell
4348,Comedy Drama Thriller,pop pop star musical,This Is Not A Sequel. There Has Never Been Anything Like It!,Beyond the Valley of the Dolls,Dolly Read Cynthia Myers Marcia McBroom John Lazar Michael Blodgett,Russ Meyer
4349,Drama Action Western Music Romance,civil war,HEAR ELVIS SING . . .,Love Me Tender,Richard Egan Debra Paget Elvis Presley Robert Middleton William Campbell,Robert D. Webb
